id;batch_number;purchase_quantity;purchase_price;sale_price;purchase_date
d1fbe8c9-4bd9-44fa-a76f-fe9ca6c0ee91;5355;18650;14091.56;13705.1;2024-11-20
2880513d-a540-4fca-9d29-6f00fb25fe37;10554;31870;2546.05;85.23;2024-11-19
d9723a70-1ba6-40f9-bcb6-5632a8fe07d6;5457;27277;17734.15;22520.18;2024-11-19
ce211d97-47a7-46fd-af17-4d8a32b1f021;18659;26492;29198.65;6953.56;2024-11-20
21224d5f-343f-4e6f-9eff-f3da502c7a82;29651;31943;12875.67;25801.63;2024-11-20
1c719b51-9eeb-47d9-abe4-64c562a18487;5755;1852;2559.81;17466.92;2024-11-19
e9236c03-31ec-4c7a-b3ed-a95e5d9ce574;25338;28362;7344.34;15115.83;2024-11-20
15b6de4f-cde2-4ff3-9bd4-581f7bedaa92;26873;7709;25620.33;15612.72;2024-11-19
ebcdafba-8289-4aca-81ee-c8c733122b84;16077;15847;29444.57;9759.9;2024-11-19
e86a2496-e677-4de4-88e6-75ba1f48b1f8;30750;1863;22588.17;5964.56;2024-11-20
