id;name;description;created_at;quantity_type;updated_at
7446029c-da2f-4bc7-bb18-00e8ddce2811;hunger healthily vary;naughty;2024-11-20;PIECE;2024-11-20
9a397672-dfd2-4024-a11f-121d65e2bf37;excluding brightly;wrathful what;2024-11-19;PIECE;2024-11-19
d9965f72-e682-4928-9dfd-d3c028770122;tensely pleasant;till because;2024-11-19;ML;2024-11-20
6fdb761d-d2d5-4987-ac3c-a2d79d73d19d;eek;cooperative provided;2024-11-20;KG;2024-11-19
abaf0ccd-1b6b-4977-86a2-a726adb3ed8b;croon descriptive;bah via;2024-11-19;G;2024-11-20
fe2f95f9-f689-40cd-b8a5-d45b0da24077;seriously;baritone since uh-huh;2024-11-20;L;2024-11-19
fef360d6-cc97-4138-9cd1-92447ae3c600;edible handsome;nerve degrease by;2024-11-19;ML;2024-11-20
2a96af30-54ac-4961-9247-5924c2bd2ec0;uh-huh anti;quicker amid;2024-11-19;L;2024-11-20
97cf0385-6948-4c41-a3fb-48860893d975;metallic mechanic;um revitalise;2024-11-20;L;2024-11-20
5af491ca-06b6-43bd-b8c9-c08c40b45b73;hmph how;unimpressively;2024-11-20;ML;2024-11-20
